,ds,yhat,yhat_lower,yhat_upper
2630,2003-01-01,556.0993608173233,476.75099417168497,635.7277072127407
2631,2003-01-02,588.7040282437476,505.04908013511886,664.9058629290499
2632,2003-01-03,588.4864592411308,509.995474328299,672.6848700303256
2633,2003-01-04,559.2960358678351,480.45293249017266,646.5602236336632
2634,2003-01-05,512.0767661316247,433.7750996652725,590.3715568708642
2635,2003-01-06,573.257314546189,495.6077604084924,652.5751501548935
2636,2003-01-07,578.1103226242699,496.8729817992993,651.7675263797962
2637,2003-01-08,573.2544146994449,489.74305677519044,648.8442043016286
2638,2003-01-09,566.9818555449614,489.91143630833267,647.0388511357473
2639,2003-01-10,566.0561211729269,489.2193873406362,644.6427435392587
2640,2003-01-11,536.6288844567318,453.8952825787458,615.8181423042304
2641,2003-01-12,489.6573601236957,407.68958346078796,575.6339355352932
2642,2003-01-13,551.5689475196077,476.7409045147568,633.4331610935227
2643,2003-01-14,557.6206342330282,476.6808345640158,633.366268251782
2644,2003-01-15,554.4015190473308,477.82443854206025,632.2378632894918
2645,2003-01-16,550.1614038632194,470.5642255810297,631.655777873691
2646,2003-01-17,551.6096867723596,473.830218260585,625.624447534516
2647,2003-01-18,524.8340172553636,439.1991939747388,604.2375086970411
2648,2003-01-19,480.7196071581222,395.3944420648962,554.555442965755
2649,2003-01-20,545.6160762647465,468.5343310681112,624.3008773792468
2650,2003-01-21,554.6992290756214,480.3200297544462,636.2667951573635
2651,2003-01-22,554.4760498736243,474.7773304627973,636.9967365986654
2652,2003-01-23,553.1157915509373,473.42546048321833,634.8860023623814
2653,2003-01-24,557.2513156319355,475.5375251888071,635.5154917980736
2654,2003-01-25,532.9000713559828,454.22722061128053,618.7499495593776
2655,2003-01-26,490.88553815710594,413.8434160826419,572.984122117833
2656,2003-01-27,557.5059468810277,473.5495653490571,639.7084759134302
2657,2003-01-28,567.8976205695149,493.6349597621016,653.1286199314524
2658,2003-01-29,568.5411754487458,492.9484589478924,655.6915443298736
2659,2003-01-30,567.593421832898,488.712529790476,651.1560397661013
2660,2003-01-31,571.6890983378927,493.54240496062306,652.6660094377963
2661,2003-02-01,546.8618156341495,465.8516379357589,625.2024215444328
2662,2003-02-02,503.965035168277,420.4609744399906,580.688940822328
2663,2003-02-03,569.3399119554757,487.6906110592129,657.3555522393689
2664,2003-02-04,578.1773682828737,493.97531536472576,658.4783329405125
2665,2003-02-05,577.0226764157964,499.68165366761207,659.0948095025325
2666,2003-02-06,574.1054378209398,495.8324895336467,650.6049148621634
2667,2003-02-07,576.1391490001072,491.2452576798731,653.6379910595685
2668,2003-02-08,549.2397940988271,472.6773325487875,629.428829628913
2669,2003-02-09,504.34435898879815,424.8062413666964,582.9528096215707
2670,2003-02-10,567.8761684900593,486.8191753344343,648.1189597675657
2671,2003-02-11,575.1044872954859,493.03824490515706,655.2751838657412
2672,2003-02-12,572.6467354086649,490.32362200363707,658.1690736423943
2673,2003-02-13,568.7962751908932,486.7645381151731,649.3382228784844
2674,2003-02-14,570.3200245261612,494.05861667206557,654.2679951351286
2675,2003-02-15,543.3753936395934,459.75703080116716,626.2026922219519
2676,2003-02-16,498.9274889238204,422.28375050185485,581.5610386953804
2677,2003-02-17,563.4135239819201,490.0345823563436,646.2589178810629
2678,2003-02-18,572.101905757914,496.9031834304498,650.6104749464907
2679,2003-02-19,571.5943618772243,488.4260243844999,650.2725975021733
2680,2003-02-20,570.1540691690644,488.6287789821458,656.2456527273305
2681,2003-02-21,574.5040282731427,494.9721553331001,653.6151362972151
2682,2003-02-22,550.7451600682267,473.45767335282676,632.4838710457275
2683,2003-02-23,509.775033964571,426.67288698343486,590.1307325818209
2684,2003-02-24,577.9541244134543,492.2783033794215,657.2810520396669
